d1, d2, mean, std
models/04_01/PPO_00_30/_14000000_steps
2, 2, -30.64, 16.87
2, 3, -32.10, 17.98
2, 4, -31.68, 14.12
2, 5, -29.20, 20.85
2, 6, -30.32, 18.66
2, 7, -34.14, 16.53
2, 8, -34.38, 16.87
2, 9, -36.72, 16.00
2, 10, -37.66, 18.13
3, 2, -14.52, 19.38
3, 3, -15.26, 26.74
3, 4, -22.62, 27.74
3, 5, -28.16, 18.97
3, 6, -29.96, 19.65
3, 7, -31.16, 19.61
3, 8, -28.44, 15.27
3, 9, -30.40, 19.83
3, 10, -35.68, 17.67
4, 2, 0.40, 38.32
4, 3, 11.16, 45.38
4, 4, -5.40, 37.74
4, 5, -18.00, 18.77
4, 6, -10.58, 39.86
4, 7, -12.30, 36.20
4, 8, -19.78, 26.21
4, 9, -23.20, 31.30
4, 10, -30.06, 22.57
5, 2, 34.06, 60.71
5, 3, 42.00, 72.93
5, 4, 25.36, 61.81
5, 5, 7.06, 51.32
5, 6, 8.56, 58.48
5, 7, 2.52, 47.47
5, 8, -6.16, 38.81
5, 9, -16.74, 40.90
5, 10, -16.34, 40.48
6, 2, 93.44, 103.73
6, 3, 64.92, 110.90
6, 4, 30.40, 72.36
6, 5, 25.04, 68.69
6, 6, 37.60, 93.98
6, 7, 12.30, 75.76
6, 8, 6.86, 47.71
6, 9, -6.46, 34.55
6, 10, 15.98, 57.71
7, 2, 170.22, 173.94
7, 3, 156.48, 182.49
7, 4, 94.16, 136.69
7, 5, 47.82, 106.31
7, 6, 30.16, 116.25
7, 7, 38.22, 76.13
7, 8, 6.28, 62.35
7, 9, -10.06, 44.07
7, 10, 21.66, 63.92
8, 2, 182.88, 224.62
8, 3, 143.32, 182.81
8, 4, 105.18, 126.03
8, 5, 104.62, 152.31
8, 6, 67.16, 89.17
8, 7, 83.78, 128.33
8, 8, 35.84, 88.94
8, 9, 21.20, 86.73
8, 10, 10.62, 83.98
9, 2, 427.52, 443.40
9, 3, 198.36, 211.01
9, 4, 163.58, 193.49
9, 5, 150.92, 199.71
9, 6, 103.26, 150.47
9, 7, 89.54, 122.57
9, 8, 33.04, 82.19
9, 9, 52.50, 105.75
9, 10, 18.34, 74.90
10, 2, 399.54, 514.64
10, 3, 227.94, 277.07
10, 4, 157.34, 285.16
10, 5, 77.28, 124.45
10, 6, 99.92, 190.22
10, 7, 112.12, 145.81
10, 8, 75.60, 134.47
10, 9, 73.74, 120.67
10, 10, 42.98, 86.97
